match_id,team,player_name
300429,Bangladesh,Tamim Iqbal
300429,Bangladesh,Junaid Siddique
300429,Bangladesh,Habibul Bashar
300429,Bangladesh,Mohammad Ashraful
300429,Bangladesh,Shahriar Nafees
300429,Bangladesh,Aftab Ahmed
300429,Bangladesh,Mushfiqur Rahim
300429,Bangladesh,Mashrafe Mortaza
300429,Bangladesh,Shahadat Hossain
300429,Bangladesh,Enamul Haque jnr
300429,Bangladesh,Sajedul Islam
300429,New Zealand,CD Cumming
300429,New Zealand,MD Bell
300429,New Zealand,PG Fulton
300429,New Zealand,SP Fleming
300429,New Zealand,MS Sinclair
300429,New Zealand,JDP Oram
300429,New Zealand,BB McCullum
300429,New Zealand,DL Vettori
300429,New Zealand,KD Mills
300429,New Zealand,IE O'Brien
300429,New Zealand,CS Martin
291352,Australia,PA Jaques
291352,Australia,ML Hayden
291352,Australia,RT Ponting
291352,Australia,MEK Hussey
291352,Australia,MJ Clarke
291352,Australia,A Symonds
291352,Australia,AC Gilchrist
291352,Australia,GB Hogg
291352,Australia,B Lee
291352,Australia,MG Johnson
291352,Australia,SR Clark
291352,India,W Jaffer
291352,India,R Dravid
291352,India,VVS Laxman
291352,India,SR Tendulkar
291352,India,SC Ganguly
291352,India,Yuvraj Singh
291352,India,MS Dhoni
291352,India,A Kumble
291352,India,Harbhajan Singh
291352,India,RP Singh
291352,India,I Sharma
291354,Australia,PA Jaques
291354,Australia,ML Hayden
291354,Australia,RT Ponting
291354,Australia,MEK Hussey
291354,Australia,MJ Clarke
291354,Australia,A Symonds
291354,Australia,AC Gilchrist
291354,Australia,GB Hogg
291354,Australia,B Lee
291354,Australia,MG Johnson
291354,Australia,SR Clark
291354,India,V Sehwag
291354,India,IK Pathan
291354,India,R Dravid
291354,India,SR Tendulkar
291354,India,SC Ganguly
291354,India,VVS Laxman
291354,India,MS Dhoni
291354,India,A Kumble
291354,India,Harbhajan Singh
291354,India,RP Singh
291354,India,I Sharma
300442,England,AN Cook
300442,England,MP Vaughan
300442,England,MJ Hoggard
300442,England,AJ Strauss
300442,England,KP Pietersen
300442,England,IR Bell
300442,England,PD Collingwood
300442,England,TR Ambrose
300442,England,RJ Sidebottom
300442,England,SJ Harmison
300442,England,MS Panesar
300442,New Zealand,JM How
300442,New Zealand,MD Bell
300442,New Zealand,SP Fleming
300442,New Zealand,MS Sinclair
300442,New Zealand,LRPL Taylor
300442,New Zealand,JDP Oram
300442,New Zealand,BB McCullum
300442,New Zealand,DL Vettori
300442,New Zealand,KD Mills
300442,New Zealand,JS Patel
300442,New Zealand,CS Martin
300443,England,AN Cook
300443,England,MP Vaughan
300443,England,AJ Strauss
300443,England,KP Pietersen
300443,England,IR Bell
300443,England,PD Collingwood
300443,England,TR Ambrose
300443,England,SCJ Broad
300443,England,RJ Sidebottom
300443,England,MS Panesar
300443,England,JM Anderson
300443,New Zealand,JM How
300443,New Zealand,MD Bell
300443,New Zealand,SP Fleming
300443,New Zealand,MS Sinclair
300443,New Zealand,LRPL Taylor
300443,New Zealand,JDP Oram
300443,New Zealand,BB McCullum
300443,New Zealand,DL Vettori
300443,New Zealand,KD Mills
300443,New Zealand,MR Gillespie
300443,New Zealand,CS Martin
323948,Bangladesh,Tamim Iqbal
323948,Bangladesh,Junaid Siddique
323948,Bangladesh,Shahriar Nafees
323948,Bangladesh,Mohammad Ashraful
323948,Bangladesh,Abdur Razzak
323948,Bangladesh,Aftab Ahmed
323948,Bangladesh,Shakib Al Hasan
323948,Bangladesh,Mushfiqur Rahim
323948,Bangladesh,Mohammad Rafique
323948,Bangladesh,Mashrafe Mortaza
323948,Bangladesh,Shahadat Hossain
323948,South Africa,ND McKenzie
323948,South Africa,GC Smith
323948,South Africa,HM Amla
323948,South Africa,JH Kallis
323948,South Africa,AG Prince
323948,South Africa,AB de Villiers
323948,South Africa,MV Boucher
323948,South Africa,RJ Peterson
323948,South Africa,DW Steyn
323948,South Africa,M Morkel
323948,South Africa,M Ntini
323947,Bangladesh,Tamim Iqbal
323947,Bangladesh,Junaid Siddique
323947,Bangladesh,Shahriar Nafees
323947,Bangladesh,Habibul Bashar
323947,Bangladesh,Mohammad Ashraful
323947,Bangladesh,Aftab Ahmed
323947,Bangladesh,Shakib Al Hasan
323947,Bangladesh,Mushfiqur Rahim
323947,Bangladesh,Mohammad Rafique
323947,Bangladesh,Mashrafe Mortaza
323947,Bangladesh,Shahadat Hossain
323947,South Africa,ND McKenzie
323947,South Africa,GC Smith
323947,South Africa,HM Amla
323947,South Africa,JH Kallis
323947,South Africa,AG Prince
323947,South Africa,J Botha
323947,South Africa,AB de Villiers
323947,South Africa,MV Boucher
323947,South Africa,M Morkel
323947,South Africa,DW Steyn
323947,South Africa,M Ntini
298803,South Africa,GC Smith
298803,South Africa,HH Gibbs
298803,South Africa,HM Amla
298803,South Africa,JH Kallis
298803,South Africa,AG Prince
298803,South Africa,AB de Villiers
298803,South Africa,MV Boucher
298803,South Africa,SM Pollock
298803,South Africa,A Nel
298803,South Africa,DW Steyn
298803,South Africa,M Ntini
298803,West Indies,D Ganga
298803,West Indies,BA Parchment
298803,West Indies,RS Morton
298803,West Indies,MN Samuels
298803,West Indies,S Chanderpaul
298803,West Indies,DJ Bravo
298803,West Indies,D Ramdin
298803,West Indies,DJG Sammy
298803,West Indies,JE Taylor
298803,West Indies,DBL Powell
298803,West Indies,FH Edwards
298802,South Africa,GC Smith
298802,South Africa,ND McKenzie
298802,South Africa,HM Amla
298802,South Africa,JH Kallis
298802,South Africa,AG Prince
